BIN,country_name,card_brand,card_type,card_level,issuer_name,country_code2,is_valid
400351,UNITED STATES,VISA,DEBIT,PREPAID CLASSIC,"NEW PEOPLES BANK, INC.",US,False
400352,UNITED STATES,VISA,CREDIT,TRADITIONAL,"WELLS FARGO BANK, NATIONAL ASSOCIATION",US,False
400354,UNITED STATES,VISA,CREDIT,TRADITIONAL REWARDS,TRUE SKY FEDERAL CREDIT UNION,US,True
400364,UNITED STATES,VISA,CREDIT,CLASSIC,TEXAS BANK AND TRUST COMPANY,US,False
400365,UNITED STATES,VISA,CREDIT,BUSINESS,TEXAS BANK AND TRUST COMPANY,US,False
400366,UNITED STATES,VISA,DEBIT,BUSINESS,WOODSBORO BANK,US,True
400367,UNITED STATES,VISA,CREDIT,BUSINESS,FIRST NATIONAL BANK OF OMAHA,US,True
400368,UNITED STATES,VISA,DEBIT,BUSINESS,NORTH VALLEY BANK,US,False
400369,UNITED STATES,VISA,CREDIT,,,US,False
400371,UNITED STATES,VISA,DEBIT,BUSINESS,CAYUGA LAKE NATIONAL BANK,US,False
400372,UNITED STATES,VISA,CREDIT,TRADITIONAL,"WELLS FARGO BANK, NATIONAL ASSOCIATION",US,False
400373,UNITED STATES,VISA,DEBIT,CLASSIC,HARBOR BANK OF MARYLAND,US,False
400374,UNITED STATES,VISA,DEBIT,BUSINESS,THE HARBOR BANK OF MARYLAND,US,True
400375,UNITED STATES,VISA,CREDIT,BUSINESS,FIRST ARKANSAS BANK AND TRUST,US,True
400380,UNITED STATES,VISA,DEBIT,BUSINESS,FARMERS STATE BANK OF CALHAN,US,False
400381,UNITED STATES,VISA,DEBIT,BUSINESS,ROGUE CREDIT UNION,US,True
400382,UNITED STATES,VISA,DEBIT,BUSINESS,THE MONTICELLO BANKING COMPANY,US,True
400383,UNITED STATES,VISA,CREDIT,BUSINESS,GLOBAL FEDERAL CREDIT UNION,US,True
400384,UNITED STATES,VISA,DEBIT,CLASSIC,FIRST HORIZON BANK,US,False
400386,UNITED STATES,VISA,DEBIT,CLASSIC,VALLEY NATIONAL BANK,US,True
400387,UNITED STATES,VISA,DEBIT,BUSINESS,TRI COUNTIES BANK,US,True
400388,UNITED STATES,VISA,CREDIT,CLASSIC,TEXAS BANK AND TRUST COMPANY,US,False
400390,UNITED STATES,VISA,CREDIT,BUSINESS,BANK OF AMERICA - COMMERCIAL CREDIT,US,False
400391,UNITED STATES,VISA,DEBIT,CLASSIC,FIRST UNITED BANK,US,True
400394,UNITED STATES,VISA,CREDIT,TRADITIONAL,"WELLS FARGO BANK, NATIONAL ASSOCIATION",US,False
400395,UNITED STATES,VISA,CREDIT,TRADITIONAL REWARDS,ACADEMIC FEDERAL CREDIT UNION,US,False
400397,UNITED STATES,VISA,CREDIT,TRADITIONAL,FREEDOM BANK,US,False
400398,UNITED STATES,VISA,CREDIT,BUSINESS,CLEVELAND STATE BANK,US,False
400400,UNITED STATES,VISA,CREDIT,,,US,False
400401,UNITED STATES,VISA,DEBIT,CLASSIC,"CENTRAL VERMONT MEDICAL CENTER, INC. CREDIT UNION",US,False
400402,UNITED STATES,VISA,CREDIT,BUSINESS,PINAL COUNTY FEDERAL CREDIT UNION,US,False
400403,UNITED STATES,VISA,DEBIT,CLASSIC,PRECISION FEDERAL CREDIT UNION,US,True
400404,UNITED STATES,VISA,CREDIT,TRADITIONAL,STEARNS BANK NATIONAL ASSOCIATION,US,True
400405,UNITED STATES,VISA,CREDIT,,TOWNEBANK,US,True
400406,UNITED STATES,VISA,DEBIT,CLASSIC,"THIRD COAST BANK, SSB",US,False
400407,UNITED STATES,VISA,DEBIT,CLASSIC,ELECTRUS FEDERAL CREDIT UNION,US,False
400408,UNITED STATES,VISA,DEBIT,BUSINESS,OPUS BANK,US,False
400409,UNITED STATES,VISA,DEBIT,CLASSIC,NEBRASKA BANK OF COMMERCE,US,True
400410,UNITED STATES,VISA,DEBIT,BUSINESS,NEBRASKA BANK OF COMMERCE,US,False
400411,UNITED STATES,VISA,DEBIT,PREPAID CLASSIC,"THE BANCORP BANK, NATIONAL ASSOCIATION",US,False
400412,UNITED STATES,VISA,DEBIT,PREPAID CLASSIC,SUTTON BANK,US,True
400413,UNITED STATES,VISA,DEBIT,CLASSIC,PACIFIC WESTERN BANK,US,False
400414,UNITED STATES,VISA,DEBIT,CLASSIC,MISSISSIPPI HIGHWAY SAFETY PATROL FEDERAL CREDIT UNION,US,True
400416,UNITED STATES,VISA,CREDIT,,,US,False
400417,UNITED STATES,VISA,CREDIT,,,US,False
400418,UNITED STATES,VISA,CREDIT,,,US,False
400419,UNITED STATES,VISA,CREDIT,,,US,False
400420,UNITED STATES,VISA,CREDIT,TRADITIONAL,EVOLVE BANK &amp; TRUST,US,False
400421,UNITED STATES,VISA,CREDIT,TRADITIONAL,GREEN DOT BANK DBA BONNEVILLE BANK,US,False
400422,UNITED STATES,VISA,CREDIT,SIGNATURE,JEFFERSON CREDIT UNION,US,True
400423,UNITED STATES,VISA,DEBIT,CLASSIC,POWER FINANCIAL CREDIT UNION,US,True
400424,UNITED STATES,VISA,DEBIT,CLASSIC,EVERGREEN DIRECT CREDIT UNION,US,True
